,Home,Away,ScoreHome,ScoreAway,Season,NonPenaltyGoalsHome,AgeHome,Goals90minHome,NonPenaltyGoalsAway,AgeAway,Goals90minAway,RankingPlaceHome,GoalForHome,GoalAgainstHome,GoalDifferenceHome,PointsHome,TopTeamScorerGoalsHome,RankingPlaceAway,GoalForAway,GoalAgainstAway,GoalDifferenceAway,PointsAway,TopTeamScorerGoalsAway,HomeT,AwayT
46,Grand Bodø,Vålerenga,2.0,3.0,2017,29.0,22.7,30.0,38.0,25.8,38.0,11.0,30.0,80.0,-50.0,8.0,11.0,7.0,38.0,33.0,5.0,34.0,7.0,3,14
47,Røa,Vålerenga,4.0,3.0,2017,42.0,22.8,42.0,38.0,25.8,38.0,5.0,42.0,28.0,14.0,37.0,17.0,7.0,38.0,33.0,5.0,34.0,7.0,10,14
48,LSK Kvinner,Vålerenga,2.0,1.0,2017,65.0,24.2,67.0,38.0,25.8,38.0,1.0,68.0,18.0,50.0,59.0,18.0,7.0,38.0,33.0,5.0,34.0,7.0,7,14
49,Trondheims-Ørn,Vålerenga,2.0,2.0,2017,36.0,22.1,36.0,38.0,25.8,38.0,8.0,36.0,36.0,0.0,30.0,8.0,7.0,38.0,33.0,5.0,34.0,7.0,13,14
50,Arna-Bjørnar,Vålerenga,2.0,3.0,2017,36.0,22.0,37.0,38.0,25.8,38.0,6.0,39.0,28.0,11.0,35.0,7.0,7.0,38.0,33.0,5.0,34.0,7.0,0,14
51,Kolbotn,Vålerenga,0.0,2.0,2017,16.0,21.9,16.0,38.0,25.8,38.0,10.0,17.0,43.0,-26.0,15.0,5.0,7.0,38.0,33.0,5.0,34.0,7.0,6,14
52,Stabæk,Vålerenga,0.0,1.0,2017,44.0,25.5,44.0,38.0,25.8,38.0,3.0,46.0,23.0,23.0,43.0,11.0,7.0,38.0,33.0,5.0,34.0,7.0,12,14
53,Klepp,Vålerenga,2.0,0.0,2017,31.0,23.5,33.0,38.0,25.8,38.0,4.0,34.0,24.0,10.0,40.0,14.0,7.0,38.0,33.0,5.0,34.0,7.0,5,14
54,Sandviken,Vålerenga,2.0,0.0,2017,23.0,24.4,23.0,38.0,25.8,38.0,9.0,23.0,34.0,-11.0,18.0,6.0,7.0,38.0,33.0,5.0,34.0,7.0,11,14
55,Medkila,Arna-Bjørnar,0.0,1.0,2017,9.0,20.9,9.0,36.0,22.0,37.0,12.0,9.0,69.0,-60.0,5.0,3.0,6.0,39.0,28.0,11.0,35.0,7.0,9,0
56,Avaldsnes,Arna-Bjørnar,2.0,2.0,2017,48.0,25.5,49.0,36.0,22.0,37.0,2.0,51.0,17.0,34.0,48.0,11.0,6.0,39.0,28.0,11.0,35.0,7.0,1,0
57,Grand Bodø,Arna-Bjørnar,2.0,2.0,2017,29.0,22.7,30.0,36.0,22.0,37.0,11.0,30.0,80.0,-50.0,8.0,11.0,6.0,39.0,28.0,11.0,35.0,7.0,3,0
